ResponseId	MainBranch	Employment	RemoteWork	CodingActivities	EdLevel	LearnCode	LearnCodeOnline	LearnCodeCoursesCert	YearsCode	YearsCodePro	DevType	OrgSize	PurchaseInfluence	BuyNewTool	Country	Currency	CompTotal	CompFreq	LanguageHaveWorkedWith	LanguageWantToWorkWith	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	PlatformHaveWorkedWith	PlatformWantToWorkWith	WebframeHaveWorkedWith	WebframeWantToWorkWith	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	OpSysProfessional use	OpSysPersonal use	VersionControlSystem	VCInteraction	VCHostingPersonal use	VCHostingProfessional use	OfficeStackAsyncHaveWorkedWith	OfficeStackAsyncWantToWorkWith	OfficeStackSyncHaveWorkedWith	OfficeStackSyncWantToWorkWith	Blockchain	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOComm	Age	Gender	Trans	Sexuality	Ethnicity	Accessibility	MentalHealth	TBranch	ICorPM	WorkExp	Knowledge_1	Knowledge_2	Knowledge_3	Knowledge_4	Knowledge_5	Knowledge_6	Knowledge_7	Frequency_1	Frequency_2	Frequency_3	TimeSearching	TimeAnswering	Onboarding	ProfessionalTech	TrueFalse_1	TrueFalse_2	TrueFalse_3	SurveyLength	SurveyEase	Annual_Salary_USD
46350	I am a developer by profession	Employed, full-time;Independent contractor, freelancer, or self-employed	Hybrid (some remote, some in-person)	Hobby;Freelance/contract work	Associate degree (A.A., A.S., etc.)	Other online resources (e.g., videos, blogs, forum);On the job training	Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;How-to videos		25.0	8	Developer, full-stack;Engineering manager	10,000 or more employees	I have some influence	Start a free trial;Ask developers I know/work with	Canada	"CAD	Canadian dollar"	280000.0	Weekly	C#	C#			Microsoft Azure		ASP.NET Core ;Blazor	ASP.NET Core ;Blazor	.NET	.NET			Visual Studio;Visual Studio Code	Visual Studio;Visual Studio Code	Windows;Windows Subsystem for Linux (WSL)	Windows	Git	Code editor;Command-line			Microsoft Lists;Stack Overflow for Teams		Microsoft Teams	Microsoft Teams	Unsure	Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat	45-54 years old	Man	No	Straight / Heterosexual	White;Multiracial;Indigenous (such as Native American or Indigenous Australian)	None of the above	None of the above	No																				Appropriate in length	Easy	10931800.0
14958	I am a developer by profession	Employed, full-time;Independent contractor, freelancer, or self-employed	Fully remote	Hobby;Contribute to open-source projects	Some college/university study without earning a degree	Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague	Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges);Interactive tutorial		34.0	8	Developer, full-stack;Engineering manager	10 to 19 employees	I have a great deal of influence	Start a free trial;Ask developers I know/work with	Canada	"CAD	Canadian dollar"	180000.0	Weekly	Bash/Shell;C;Haskell;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript	Haskell;Python;Rust;SQL;TypeScript	DynamoDB;MariaDB;SQLite	CouchDB;PostgreSQL;SQLite	AWS;DigitalOcean		Laravel;Node.js;Svelte;Vue.js	Deno;Svelte	NumPy;Pandas	NumPy;Pandas	Ansible;Docker;Terraform		Emacs;Visual Studio Code	Emacs	Linux-based	Linux-based	Git	Code editor;Command-line			Asana;ClickUp;Jira Work Management	Asana;ClickUp	Slack;Zoom		Very unfavorable	Collectives on Stack Overflow;Stack Overflow	Multiple times per day	No		No, not at all	25-34 years old	Man	No	Straight / Heterosexual	European	None of the above	I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)	Yes	People manager	8.0	Strongly agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	1-2 times a week	10+ times a week	1-2 times a week	15-30 minutes a day	15-30 minutes a day	Just right	Continuous integration (CI) and (more often) continuous delivery;Automated testing	Yes	No	Yes	Too short	Neither easy nor difficult	7027550.0
37619	I am a developer by profession	Employed, full-time	Fully remote	Hobby	Associate degree (A.A., A.S., etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification	Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Interactive tutorial;Coding sessions (live or recorded)	Other	13.0	10	Developer, front-end;Developer, full-stack	20 to 99 employees	I have a great deal of influence	Start a free trial;Ask developers I know/work with	Canada	"CAD	Canadian dollar"	175000.0	Weekly	HTML/CSS;JavaScript;Python;TypeScript	HTML/CSS;JavaScript;Python;TypeScript	PostgreSQL	PostgreSQL	Google Cloud	Google Cloud	Django;Node.js;React.js	Django;Node.js;React.js			Docker;Homebrew;Kubernetes;npm	Docker;Homebrew;Kubernetes;npm;Yarn	Visual Studio Code	Visual Studio Code	macOS	Windows	Git	Code editor;Command-line;Version control hosting service web GUI			Airtable;Confluence;Jira Work Management	Airtable;Confluence	Slack;Zoom	Slack;Zoom	Very unfavorable	Stack Overflow	A few times per month or weekly	No		No, not at all	25-34 years old	Woman	No	Queer	White	None of the above		Yes	Independent contributor	10.0	Agree	Disagree	Agree	Neither agree nor disagree	Agree	Agree	Strongly agree	1-2 times a week	3-5 times a week	1-2 times a week	30-60 minutes a day	Over 120 minutes a day	Just right	Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools	Yes	No	Yes	Appropriate in length	Easy	6832350.0
45492	I am a developer by profession	Employed, full-time	Fully remote	Hobby;Bootstrapping a business	Associate degree (A.A., A.S., etc.)	Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)	Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial		11.0	3	Developer, back-end	100 to 499 employees	I have some influence	Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with	Canada	"CAD	Canadian dollar"	175000.0	Weekly	Bash/Shell;HTML/CSS;Java;Python;TypeScript	Go;Python;TypeScript	MySQL;PostgreSQL;Redis	MongoDB;PostgreSQL	AWS	AWS	Angular;FastAPI;Node.js	Angular;ASP.NET Core ;Django;FastAPI;Flask;Node.js;React.js;Vue.js	Spring	.NET;React Native	Docker;Homebrew	Docker;Homebrew;npm;Yarn	IntelliJ;Neovim;Sublime Text;Vim;Visual Studio Code	Neovim;Visual Studio Code	macOS	Linux-based;macOS	Git	Code editor;Command-line			Confluence;Jira Work Management;Notion	Confluence;Jira Work Management;Notion	Cisco Webex Teams;Microsoft Teams;Slack;Zoom	Slack	Very unfavorable	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Less than once per month or monthly	Yes, somewhat	25-34 years old	Man	No	Straight / Heterosexual	White	None of the above	I have an anxiety disorder	Yes	Independent contributor	3.0	Agree	Disagree	Agree	Agree	Agree	Disagree	Neither agree nor disagree	1-2 times a week	1-2 times a week	Never	30-60 minutes a day	15-30 minutes a day	Somewhat long	DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing	Yes	Yes	Yes	Appropriate in length	Easy	6832350.0
10269	I am a developer by profession	Employed, full-time	Fully remote	Hobby;Contribute to open-source projects	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Friend or family member;School (i.e., University, College, etc)			35.0	23	Developer, back-end	100 to 499 employees	I have some influence	Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with	Canada	"CAD	Canadian dollar"	149000.0	Weekly	Bash/Shell;Java;JavaScript;Kotlin;SQL	Kotlin	PostgreSQL		AWS	AWS					Docker;Kubernetes;npm;Terraform	Docker;Kubernetes;Terraform	Emacs;IntelliJ;Notepad++;PyCharm;Visual Studio Code	Emacs;IntelliJ;Visual Studio Code	Windows;Windows Subsystem for Linux (WSL)	Windows	Git	Command-line;Version control hosting service web GUI			Confluence	Confluence	RingCentral;Slack	RingCentral;Slack	Unsure	Stack Overflow	A few times per week	Yes	I have never participated in Q&A on Stack Overflow	No, not at all	45-54 years old	Man	No	Prefer not to say	Prefer not to say	None of the above	I have a concentration and/or memory disorder (e.g., ADHD, etc.)	Yes	Independent contributor	23.0	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Agree	Agree	1-2 times a week	1-2 times a week	3-5 times a week	30-60 minutes a day	60-120 minutes a day	Somewhat long	Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing	Yes	Yes	Yes	Too long	Neither easy nor difficult	5817250.0
9653	I am a developer by profession	Employed, full-time	Fully remote	Freelance/contract work	Associate degree (A.A., A.S., etc.)	Books / Physical media;Friend or family member;School (i.e., University, College, etc);On the job training;Online Courses or Certification		Other	15.0	10	Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile	100 to 499 employees	I have little or no influence	Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd	Canada	"CAD	Canadian dollar"	140000.0	Weekly	JavaScript;PHP;SQL	JavaScript;PHP;SQL	MySQL;Oracle	MySQL	AWS	AWS	Laravel;Node.js;React.js	Laravel;Node.js;React.js			Docker;Flow;npm	Docker;Flow;npm	PhpStorm;Visual Studio Code	PhpStorm;Visual Studio Code	Linux-based;Windows;Windows Subsystem for Linux (WSL)	Windows;Windows Subsystem for Linux (WSL)	Git	Code editor;Command-line;Version control hosting service web GUI					Google Chat;Microsoft Teams;Slack;Zoom	Google Chat;Slack;Zoom	Unfavorable	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Yes, somewhat	35-44 years old	Man	No	Bisexual	White	None of the above	None of the above	No																				Appropriate in length	Easy	5465900.0
24485	I am a developer by profession	Employed, full-time	Fully remote	Hobby	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;On the job training;Colleague			5.0	4	Developer, full-stack;Developer, back-end	10,000 or more employees	I have little or no influence		Canada	"CAD	Canadian dollar"	140000.0	Weekly	Elixir;JavaScript;Ruby;SQL;TypeScript	Elixir;Erlang;Ruby;Rust	MySQL;PostgreSQL;Redis	SQLite	AWS;Google Cloud;Heroku		Phoenix;React.js;Ruby on Rails	jQuery;Phoenix;Ruby on Rails	Apache Kafka		Docker;Homebrew;Kubernetes;Yarn		IntelliJ;RubyMine	IntelliJ;RubyMine	macOS	macOS	Git	Code editor;Command-line			Confluence;Jira Work Management;Trello	Trello	Slack;Zoom	Slack;Zoom	Very unfavorable	Stack Overflow;Stack Exchange	A few times per month or weekly	No		No, not at all	25-34 years old	Man	No	Straight / Heterosexual	White;European;Ethnoreligious group	None of the above	None of the above	No																				Appropriate in length	Easy	5465900.0
66035	I am a developer by profession	Employed, full-time	Hybrid (some remote, some in-person)	Hobby;School or academic work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification;Colleague;Other (please specify):		Udemy	20.0	15	Developer, front-end;Developer, full-stack	500 to 999 employees	I have some influence	Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd	Canada	"CAD	Canadian dollar"	137000.0	Weekly	Elixir;HTML/CSS;JavaScript;Ruby;SQL;TypeScript	Elixir;HTML/CSS;JavaScript;Python;Rust;TypeScript	DynamoDB;MongoDB;MySQL;PostgreSQL	DynamoDB;MongoDB;MySQL;Firebase Realtime Database;Redis	Google Cloud		Express;Node.js;Phoenix;React.js;Ruby on Rails	Express;Node.js;Phoenix;React.js	Electron				Visual Studio Code		macOS	macOS	Git	Code editor;Command-line;Version control hosting service web GUI					Slack;Zoom	Slack;Zoom	Indifferent	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Neutral	35-44 years old	Man	No	Straight / Heterosexual	White;European	None of the above	Or, in your own words:;I have a concentration and/or memory disorder (e.g., ADHD, etc.)	Yes	Independent contributor	15.0	Agree	Strongly agree	Agree	Agree	Agree	Disagree	Neither agree nor disagree	1-2 times a week	3-5 times a week	Never	Less than 15 minutes a day	Less than 15 minutes a day	Just right	DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools	Yes	Yes	Yes	Appropriate in length	Easy	5348750.0
863	I am a developer by profession	Employed, full-time	Fully remote	Hobby	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Colleague	Technical documentation;Blogs;Written Tutorials;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded)		13.0	9	Developer, front-end;Developer, full-stack	1,000 to 4,999 employees	I have a great deal of influence	Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit	Canada	"CAD	Canadian dollar"	130000.0	Weekly	C;Haskell;HTML/CSS;JavaScript;Rust;TypeScript	Assembly;Haskell;HTML/CSS;JavaScript;Rust;Solidity;Swift;TypeScript	MongoDB;PostgreSQL	Cassandra;CouchDB;Elasticsearch	DigitalOcean;OVH	Linode;OVH	Express;Next.js;Node.js;React.js	Deno;Express;Next.js;Node.js;React.js;Vue.js	React Native	React Native	Docker;Homebrew;npm;Yarn	Docker;Homebrew;npm;Yarn	Neovim;Vim	Neovim;Vim	macOS	macOS	Git	Command-line			Confluence;Trello	Trello	Google Chat;Microsoft Teams;Zoom	Zoom	Favorable	Stack Overflow;Stack Exchange	A few times per week	Yes	I have never participated in Q&A on Stack Overflow	No, not really	25-34 years old	Man	No	Straight / Heterosexual	Indian	None of the above	I have a concentration and/or memory disorder (e.g., ADHD, etc.)	Yes	Independent contributor	9.0	Agree	Agree	Agree	Agree	Agree	Agree	Agree	1-2 times a week	Never	1-2 times a week	Over 120 minutes a day	Less than 15 minutes a day	Somewhat long	Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools	No	Yes	Yes	Appropriate in length	Neither easy nor difficult	5075450.0
4323	I am a developer by profession	Employed, full-time;Independent contractor, freelancer, or self-employed	Fully remote	Contribute to open-source projects;Freelance/contract work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum)	Technical documentation;Blogs;Online books		14.0	10	Developer, full-stack	100 to 499 employees	I have little or no influence	Start a free trial;Visit developer communities like Stack Overflow	Canada	"CAD	Canadian dollar"	130000.0	Weekly	C#;JavaScript;TypeScript	C#;JavaScript;PowerShell;TypeScript	Microsoft SQL Server;Firebase Realtime Database	MongoDB;Firebase Realtime Database	AWS;Firebase;Google Cloud	Microsoft Azure	Angular;ASP.NET;ASP.NET Core ;React.js	ASP.NET Core ;Blazor			Docker;Homebrew;npm	Docker;Homebrew;npm	Android Studio;Notepad++;Visual Studio;Visual Studio Code;Xcode	Notepad++;Visual Studio;Visual Studio Code	macOS;Windows	macOS;Windows	Git	Command-line;Version control hosting service web GUI			Confluence;Jira Work Management;Trello	Confluence;Jira Work Management;Trello	Google Chat;Slack;Zoom	Google Chat;Slack;Zoom	Unsure	Stack Overflow;Stack Exchange	Daily or almost daily	No		Yes, somewhat	25-34 years old	Man	No	Bisexual	Asian	None of the above	None of the above	Yes	Independent contributor	10.0	Agree	Neither agree nor disagree	Agree	Agree	Agree	Agree	Agree	1-2 times a week	1-2 times a week	1-2 times a week	60-120 minutes a day	30-60 minutes a day	Somewhat short	Innersource initiative;Microservices;Automated testing	No	No	Yes	Too short	Easy	5075450.0
